148.5		-18.1686		
149		26.6093		
149.5		21.9331		
150		-23.5063		
150.5		-25.2587		
151		19.9328		
151.5		28.0786		
152		-15.9604		
152.5		-30.3366		
153		11.6686		
153.5		31.9874		
154		-7.14315		
154.5		-32.998		
155		2.47478		
155.5		33.3481		
156		2.24313		
156.5		-33.0308		
157		-6.91614		
157.5		32.0523		
158		11.4507		
158.5		-30.4323		
159		-15.7561		
159.5		28.2033		
160		19.7462		
160.5		-25.4097		
161		-23.341		
161.5		22.1075		
162		26.4686		
162.5		-18.3629		
163		-29.0665		
163.5		14.2507		
164		31.0826		
164.5		-9.85333		
165		-32.4766		
165.5		5.25872		
166		33.2206		
166.5		-0.558861		
167		-33.2997		
167.5		-4.15219		
168		32.7122		
168.5		8.78013		
169		-31.4701		
169.5		-13.2323		
170		29.598		
170.5		17.4197		
171		-27.1336		
171.5		-21.2584		
172		24.1261		
172.5		24.6716		
173		-20.6357		
173.5		-27.591		
174		16.7322		
174.5		29.9582		
175		-12.4939		
175.5		-31.7258		
176		8.00552		
176.5		32.8584		
177		-3.3569		
177.5		-33.3333		
178		-1.35891		
178.5		33.141		
179		6.04751		
179.5		-32.2855		
180		-10.6151		
180.5		30.7837		
181		14.9702		
181.5		-28.6658		
182		-19.0257		
182.5		25.9742		
183		22.7003		
183.5		-22.7626		
184		-25.9207		
184.5		19.0955		
185		28.6222		
185.5		-15.0462		
186		-30.7509		
186.5		10.6958		
187		32.264		
187.5		-6.13123		
188		-33.1315		
188.5		1.44398		
189		33.3357		
189.5		3.27218		
190		-32.8728		
190.5		-7.92284		
191		31.7519		
191.5		12.4149		
192		-29.9955		
192.5		-16.6585		
193		27.6388		
193.5		20.5687		
194		-24.7288		
194.5		-24.0672		
195		21.3239		
195.5		27.084		
196		-17.4923		
196.5		-29.5587		
197		13.3105		
197.5		31.4418		
198		-8.86224		
198.5		-32.6956		
199		4.23666		
199.5		33.2949		
200		0.473725		
